,Nutrition Category,"['Obesity', 'Undernourished', 'Deaths', 'Recovered']","['Animal Products', 'Animal fats', 'Meat', 'Cereals - Excluding Beer', 'Vegetables', 'Vegetal Products', 'Vegetable Oils', 'Oilcrops']"
0,Food_Supply_Quantity_kg_Data,"[0, 0, 0, 1]","[0.5669178514219854, 4.304940868051428, 17.444704707374445, 2.3658275591075055, 4.631213481829506, 1.3208051264890184, 8.330923203822287, 24.93229143583058]"
1,Fat_Supply_Quantity_Data,"[0, 0, 0, 1]","[21.969389670254394, 3.3955387496450524, 8.235287251658972, 5.75267492751391, 9.370714954916622, 28.03076287442633, 16.767413121965205, 0.16832617243694512]"
2,Food_Supply_kcal_Data,"[0, 0, 0, 1]","[11.22289464039164, 1.1929631380317438, 22.33654832401455, 3.90923061207991, 4.653345616494323, 38.77981567871921, 4.916777010183372, 0.4712986434927153]"
3,Protein_Supply_Quantity_Data,"[0, 0, 0, 1]","[23.52053741453971, 0.09161688072466743, 21.092877801318878, 7.548286077429536, 4.075729418914232, 26.47932191209223, 0.014946880643661896, 1.3997805658973805]"
