,Nutrition Category,"['Obesity', 'Undernourished', 'Deaths', 'Recovered']","['Animal Products', 'Animal fats', 'Meat', 'Cereals - Excluding Beer', 'Vegetables', 'Vegetal Products', 'Vegetable Oils', 'Oilcrops']"
0,Food_Supply_Quantity_kg_Data,"[0, 0, 0, 1]","[0.5744182160697149, 4.273246680537937, 16.635744492629517, 2.535998543925646, 4.525620052335978, 1.309015297196635, 7.926691744059237, 24.70544186108023]"
1,Fat_Supply_Quantity_Data,"[0, 0, 0, 1]","[22.11572275353556, 3.3466034379759515, 8.532266599793772, 5.3623311816994566, 9.669162299339089, 27.88460237702102, 16.923259128897776, 0.16532142954250567]"
2,Food_Supply_kcal_Data,"[0, 0, 0, 1]","[11.138864090192431, 1.1221012596231252, 21.720635712734943, 3.8845815227517093, 4.964983470687832, 38.8642975239233, 5.088685899187388, 0.4185659271614125]"
3,Protein_Supply_Quantity_Data,"[0, 0, 0, 1]","[24.461345977602413, 0.09482854333374954, 22.12179441808802, 7.089797980482902, 3.9671870617514244, 25.53841744969814, 0.016992276540783776, 1.3182866672491254]"
