,Nutrition Category,"['Obesity', 'Undernourished', 'Deaths', 'Recovered']","['Animal Products', 'Animal fats', 'Vegetal Products', 'Vegetable Oils']"
0,Food_Supply_Quantity_kg_Data,"[0, 0, 0, 1]","[3.261095347453607, 0.5329404672301871, 4.207428179801412, 0.13791637435851045, 10.658460749013324, 0.5624469485995601, 2.450844151444623, 6.067777304138026, 4.298095257579506, 3.814721057125187, 0.6398104946139958, 0.15284596217941673, 1.1707663398327481, 0.6623256566306277, 0.07436803616175217, 4.748302788457057, 0.07779653219007089, 3.03231451989898, 0.4957354267294556, 0.4596981691884802, 0.8940779285311996, 7.431964064700125, 28.950063390031055]"
1,Fat_Supply_Quantity_Data,"[0, 0, 0, 1]","[0.0082264428016428, 22.67102909641221, 3.570607155915938, 0.0049350189127049405, 3.9780535205712195, 1.2228166019726598, 1.7765407176365324, 0.49463392608694423, 11.794091900212168, 0.10303062833270141, 3.8743494033815047, 0.09928907567113021, 1.791557568288561, 0.4084227259983803, 0.18452021151234035, 0.551611737539474, 0.18098144255610046, 0.007675940693057114, 0.014303851434704118, 2.22077587877375, 24.22802178791316, 15.009182966198178, 0.28049252939975533]"
2,Food_Supply_kcal_Data,"[0, 0, 0, 1]","[1.550231608830507, 10.65570929200709, 1.0858511758127498, 0.04112379708775701, 19.398315668458906, 0.5568839004120879, 1.1902822872758778, 2.0479143729008737, 4.829626262018166, 2.7867917153622925, 0.2363229473779899, 0.11156536763591793, 0.8291246994946659, 1.493024048737938, 0.10576574829756043, 4.378964022073179, 0.11910982653763551, 0.26222718427053465, 2.6882610345082427, 0.79985285760513, 36.39849147251299, 5.02514052119264, 0.8715127334323434]"
3,Protein_Supply_Quantity_Data,"[0, 0, 0, 1]","[0.4330000000000036, 21.742900000000116, 0.06206666666666712, 0.37846666666666934, 18.374099999999892, 1.962799999999972, 6.0061999999999705, 0.4603333333333316, 8.932266666666752, 3.547300000000032, 0.8568333333333272, 2.8578333333333723, 0.7757666666666685, 0.11229999999999937, 0.7080333333333372, 0.3801333333333347, 0.017333333333333353, 0.035999999999999754, 0.23983333333333332, 28.25463333333346, 0.012633333333333345, 3.791966666666691, 0.05726666666666693]"
